================ Training Loss (Sat Feb 21 15:53:10 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.073, data: 0.118) , D_A: 0.335, G_A: 0.328, cycle_A: 0.893, idt_A: 0.911, D_B: 0.178, G_B: 0.374, cycle_B: 1.683, idt_B: 0.399

[Rank 0] (epoch: 1, iters: 200, time: 0.073, data: 0.001) , D_A: 0.177, G_A: 0.322, cycle_A: 0.666, idt_A: 0.248, D_B: 0.220, G_B: 0.408, cycle_B: 0.633, idt_B: 0.401

[Rank 0] (epoch: 1, iters: 300, time: 0.075, data: 0.001) , D_A: 0.150, G_A: 0.686, cycle_A: 0.757, idt_A: 0.282, D_B: 0.230, G_B: 0.507, cycle_B: 0.762, idt_B: 0.377

[Rank 0] (epoch: 1, iters: 400, time: 0.419, data: 0.001) , D_A: 0.098, G_A: 0.693, cycle_A: 0.485, idt_A: 0.238, D_B: 0.094, G_B: 0.637, cycle_B: 0.520, idt_B: 0.245

[Rank 0] (epoch: 1, iters: 500, time: 0.075, data: 0.002) , D_A: 0.056, G_A: 0.401, cycle_A: 0.677, idt_A: 0.165, D_B: 0.075, G_B: 0.719, cycle_B: 0.657, idt_B: 0.431

[Rank 0] (epoch: 1, iters: 600, time: 0.074, data: 0.001) , D_A: 0.039, G_A: 0.806, cycle_A: 0.573, idt_A: 0.214, D_B: 0.083, G_B: 0.753, cycle_B: 0.324, idt_B: 0.266

[Rank 0] (epoch: 1, iters: 700, time: 0.074, data: 0.002) , D_A: 0.020, G_A: 1.053, cycle_A: 0.678, idt_A: 0.269, D_B: 0.109, G_B: 0.811, cycle_B: 0.918, idt_B: 0.296

[Rank 0] (epoch: 1, iters: 800, time: 0.127, data: 0.001) , D_A: 0.308, G_A: 0.808, cycle_A: 0.608, idt_A: 0.299, D_B: 0.111, G_B: 0.367, cycle_B: 1.068, idt_B: 0.281

[Rank 0] (epoch: 1, iters: 900, time: 0.075, data: 0.001) , D_A: 0.137, G_A: 0.911, cycle_A: 0.456, idt_A: 0.955, D_B: 0.230, G_B: 0.535, cycle_B: 1.505, idt_B: 0.188

[Rank 0] (epoch: 1, iters: 1000, time: 0.077, data: 0.001) , D_A: 0.027, G_A: 0.937, cycle_A: 0.478, idt_A: 0.326, D_B: 0.218, G_B: 0.324, cycle_B: 0.733, idt_B: 0.208

[Rank 0] (epoch: 1, iters: 1100, time: 0.078, data: 0.001) , D_A: 0.019, G_A: 0.822, cycle_A: 0.517, idt_A: 0.334, D_B: 0.207, G_B: 0.520, cycle_B: 0.479, idt_B: 0.253

[Rank 0] (epoch: 1, iters: 1200, time: 0.124, data: 0.001) , D_A: 0.070, G_A: 0.243, cycle_A: 0.395, idt_A: 0.189, D_B: 0.130, G_B: 0.332, cycle_B: 0.547, idt_B: 0.180

[Rank 0] (epoch: 1, iters: 1300, time: 0.073, data: 0.001) , D_A: 0.013, G_A: 0.667, cycle_A: 0.390, idt_A: 0.136, D_B: 0.156, G_B: 0.350, cycle_B: 0.385, idt_B: 0.178

[Rank 0] (epoch: 1, iters: 1400, time: 0.074, data: 0.001) , D_A: 0.182, G_A: 0.740, cycle_A: 0.377, idt_A: 0.728, D_B: 0.149, G_B: 0.339, cycle_B: 1.295, idt_B: 0.169

[Rank 0] (epoch: 1, iters: 1500, time: 0.073, data: 0.001) , D_A: 0.119, G_A: 0.550, cycle_A: 0.437, idt_A: 0.372, D_B: 0.074, G_B: 0.724, cycle_B: 0.734, idt_B: 0.197

[Rank 0] (epoch: 1, iters: 1600, time: 0.126, data: 0.002) , D_A: 0.109, G_A: 1.054, cycle_A: 0.377, idt_A: 0.149, D_B: 0.091, G_B: 0.611, cycle_B: 0.558, idt_B: 0.154

[Rank 0] (epoch: 1, iters: 1700, time: 0.074, data: 0.000) , D_A: 0.201, G_A: 0.626, cycle_A: 0.381, idt_A: 0.188, D_B: 0.202, G_B: 0.195, cycle_B: 0.513, idt_B: 0.163

[Rank 0] (epoch: 1, iters: 1800, time: 0.074, data: 0.001) , D_A: 0.149, G_A: 0.306, cycle_A: 0.380, idt_A: 0.227, D_B: 0.138, G_B: 0.324, cycle_B: 0.577, idt_B: 0.155

[Rank 0] (epoch: 1, iters: 1900, time: 0.074, data: 0.001) , D_A: 0.189, G_A: 0.493, cycle_A: 0.347, idt_A: 0.264, D_B: 0.085, G_B: 0.499, cycle_B: 0.442, idt_B: 0.157

[Rank 0] (epoch: 1, iters: 2000, time: 0.124, data: 0.001) , D_A: 0.170, G_A: 1.021, cycle_A: 0.506, idt_A: 0.234, D_B: 0.038, G_B: 0.411, cycle_B: 0.493, idt_B: 0.171

[Rank 0] (epoch: 1, iters: 2100, time: 0.074, data: 0.001) , D_A: 0.192, G_A: 0.855, cycle_A: 0.477, idt_A: 0.203, D_B: 0.101, G_B: 0.952, cycle_B: 0.531, idt_B: 0.196

[Rank 0] (epoch: 1, iters: 2200, time: 0.075, data: 0.001) , D_A: 0.205, G_A: 0.329, cycle_A: 0.323, idt_A: 0.110, D_B: 0.071, G_B: 0.739, cycle_B: 0.425, idt_B: 0.152

[Rank 0] (epoch: 1, iters: 2300, time: 0.074, data: 0.001) , D_A: 0.211, G_A: 0.249, cycle_A: 0.374, idt_A: 0.207, D_B: 0.125, G_B: 0.541, cycle_B: 0.712, idt_B: 0.164

[Rank 0] (epoch: 1, iters: 2400, time: 0.123, data: 0.001) , D_A: 0.405, G_A: 1.110, cycle_A: 0.371, idt_A: 0.239, D_B: 0.095, G_B: 0.607, cycle_B: 0.726, idt_B: 0.194

[Rank 0] (epoch: 1, iters: 2500, time: 0.074, data: 0.001) , D_A: 0.436, G_A: 0.192, cycle_A: 0.317, idt_A: 0.276, D_B: 0.045, G_B: 0.613, cycle_B: 0.673, idt_B: 0.143

[Rank 0] (epoch: 2, iters: 20, time: 0.073, data: 0.001) , D_A: 0.191, G_A: 0.125, cycle_A: 0.315, idt_A: 0.174, D_B: 0.100, G_B: 0.860, cycle_B: 0.230, idt_B: 0.142

[Rank 0] (epoch: 2, iters: 120, time: 0.074, data: 0.001) , D_A: 0.143, G_A: 0.285, cycle_A: 0.430, idt_A: 0.080, D_B: 0.173, G_B: 0.251, cycle_B: 0.438, idt_B: 0.187

[Rank 0] (epoch: 2, iters: 220, time: 0.124, data: 0.001) , D_A: 0.159, G_A: 0.496, cycle_A: 0.338, idt_A: 0.094, D_B: 0.058, G_B: 0.569, cycle_B: 0.288, idt_B: 0.149

[Rank 0] (epoch: 2, iters: 320, time: 0.074, data: 0.001) , D_A: 0.142, G_A: 0.126, cycle_A: 0.361, idt_A: 0.209, D_B: 0.023, G_B: 0.399, cycle_B: 0.441, idt_B: 0.145

[Rank 0] (epoch: 2, iters: 420, time: 0.072, data: 0.001) , D_A: 0.292, G_A: 0.179, cycle_A: 0.362, idt_A: 0.118, D_B: 0.128, G_B: 0.373, cycle_B: 0.216, idt_B: 0.174

[Rank 0] (epoch: 2, iters: 520, time: 0.071, data: 0.001) , D_A: 0.250, G_A: 0.170, cycle_A: 0.348, idt_A: 0.143, D_B: 0.046, G_B: 0.736, cycle_B: 0.308, idt_B: 0.129

[Rank 0] (epoch: 2, iters: 620, time: 0.128, data: 0.001) , D_A: 0.156, G_A: 0.286, cycle_A: 0.281, idt_A: 0.276, D_B: 0.051, G_B: 0.647, cycle_B: 0.680, idt_B: 0.119

[Rank 0] (epoch: 2, iters: 720, time: 0.072, data: 0.001) , D_A: 0.077, G_A: 0.292, cycle_A: 0.307, idt_A: 0.094, D_B: 0.016, G_B: 0.664, cycle_B: 0.241, idt_B: 0.134

