================ Training Loss (Sun Feb 22 11:53:54 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.057, data: 0.106) , D_A: 0.253, G_A: 0.523, cycle_A: 0.497, idt_A: 0.418, D_B: 0.133, G_B: 0.512, cycle_B: 0.881, idt_B: 0.242

[Rank 0] (epoch: 1, iters: 200, time: 0.056, data: 0.001) , D_A: 0.174, G_A: 0.379, cycle_A: 1.070, idt_A: 0.308, D_B: 1.594, G_B: 2.367, cycle_B: 0.707, idt_B: 0.372

[Rank 0] (epoch: 1, iters: 300, time: 0.059, data: 0.000) , D_A: 0.225, G_A: 0.225, cycle_A: 0.437, idt_A: 0.299, D_B: 0.190, G_B: 0.516, cycle_B: 0.787, idt_B: 0.189

[Rank 0] (epoch: 1, iters: 400, time: 0.345, data: 0.001) , D_A: 0.439, G_A: 0.366, cycle_A: 0.499, idt_A: 0.786, D_B: 0.151, G_B: 0.703, cycle_B: 1.732, idt_B: 0.201

[Rank 0] (epoch: 1, iters: 500, time: 0.057, data: 0.006) , D_A: 0.226, G_A: 0.271, cycle_A: 0.535, idt_A: 0.333, D_B: 0.113, G_B: 0.433, cycle_B: 0.775, idt_B: 0.235

[Rank 0] (epoch: 1, iters: 600, time: 0.057, data: 0.000) , D_A: 0.213, G_A: 0.289, cycle_A: 0.531, idt_A: 0.248, D_B: 0.243, G_B: 0.083, cycle_B: 0.621, idt_B: 0.202

[Rank 0] (epoch: 1, iters: 700, time: 0.057, data: 0.001) , D_A: 0.289, G_A: 0.372, cycle_A: 0.506, idt_A: 0.281, D_B: 0.180, G_B: 0.260, cycle_B: 0.652, idt_B: 0.190

[Rank 0] (epoch: 1, iters: 800, time: 0.107, data: 0.001) , D_A: 0.309, G_A: 0.230, cycle_A: 0.408, idt_A: 0.247, D_B: 0.104, G_B: 0.166, cycle_B: 0.751, idt_B: 0.175

[Rank 0] (epoch: 1, iters: 900, time: 0.057, data: 0.001) , D_A: 0.219, G_A: 0.242, cycle_A: 0.489, idt_A: 0.803, D_B: 0.204, G_B: 0.242, cycle_B: 2.872, idt_B: 0.197

[Rank 0] (epoch: 1, iters: 1000, time: 0.057, data: 0.000) , D_A: 0.163, G_A: 0.345, cycle_A: 0.374, idt_A: 0.384, D_B: 0.125, G_B: 0.769, cycle_B: 0.969, idt_B: 0.177

[Rank 0] (epoch: 1, iters: 1100, time: 0.057, data: 0.001) , D_A: 0.176, G_A: 0.471, cycle_A: 0.459, idt_A: 0.189, D_B: 0.115, G_B: 0.641, cycle_B: 0.561, idt_B: 0.170

[Rank 0] (epoch: 1, iters: 1200, time: 0.112, data: 0.000) , D_A: 0.235, G_A: 0.432, cycle_A: 0.377, idt_A: 0.310, D_B: 0.123, G_B: 0.948, cycle_B: 1.075, idt_B: 0.167

[Rank 0] (epoch: 1, iters: 1300, time: 0.057, data: 0.001) , D_A: 0.232, G_A: 0.443, cycle_A: 0.390, idt_A: 0.236, D_B: 0.049, G_B: 0.357, cycle_B: 0.646, idt_B: 0.171

[Rank 0] (epoch: 1, iters: 1400, time: 0.057, data: 0.001) , D_A: 0.410, G_A: 0.314, cycle_A: 0.417, idt_A: 0.412, D_B: 0.093, G_B: 0.817, cycle_B: 1.124, idt_B: 0.144

[Rank 0] (epoch: 1, iters: 1500, time: 0.058, data: 0.002) , D_A: 0.090, G_A: 0.101, cycle_A: 0.480, idt_A: 0.532, D_B: 0.035, G_B: 0.585, cycle_B: 1.252, idt_B: 0.155

[Rank 0] (epoch: 1, iters: 1600, time: 0.112, data: 0.001) , D_A: 0.244, G_A: 0.484, cycle_A: 0.414, idt_A: 0.200, D_B: 0.125, G_B: 0.226, cycle_B: 0.575, idt_B: 0.173

[Rank 0] (epoch: 1, iters: 1700, time: 0.057, data: 0.001) , D_A: 0.193, G_A: 0.385, cycle_A: 0.441, idt_A: 0.338, D_B: 0.045, G_B: 0.657, cycle_B: 0.895, idt_B: 0.216

[Rank 0] (epoch: 1, iters: 1800, time: 0.057, data: 0.001) , D_A: 0.240, G_A: 0.154, cycle_A: 0.306, idt_A: 0.227, D_B: 0.149, G_B: 0.581, cycle_B: 0.574, idt_B: 0.115

[Rank 0] (epoch: 1, iters: 1900, time: 0.057, data: 0.001) , D_A: 0.173, G_A: 0.854, cycle_A: 0.434, idt_A: 0.268, D_B: 0.064, G_B: 0.782, cycle_B: 0.650, idt_B: 0.136

[Rank 0] (epoch: 1, iters: 2000, time: 0.118, data: 0.001) , D_A: 0.172, G_A: 0.801, cycle_A: 0.433, idt_A: 0.374, D_B: 0.118, G_B: 1.008, cycle_B: 0.974, idt_B: 0.175

[Rank 0] (epoch: 1, iters: 2100, time: 0.056, data: 0.001) , D_A: 0.062, G_A: 0.339, cycle_A: 0.356, idt_A: 0.154, D_B: 0.035, G_B: 0.494, cycle_B: 0.422, idt_B: 0.139

