================ Training Loss (Sat Feb 21 18:03:18 2026) ================
================ Training Loss (Sat Feb 21 18:03:37 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.057, data: 0.122) , D_A: 0.740, G_A: 0.501, cycle_A: 0.660, idt_A: 0.470, D_B: 0.164, G_B: 0.410, cycle_B: 1.581, idt_B: 0.176

[Rank 0] (epoch: 1, iters: 200, time: 0.057, data: 0.001) , D_A: 0.314, G_A: 0.345, cycle_A: 0.550, idt_A: 0.362, D_B: 0.133, G_B: 0.436, cycle_B: 1.398, idt_B: 0.160

[Rank 0] (epoch: 1, iters: 300, time: 0.058, data: 0.002) , D_A: 0.245, G_A: 0.375, cycle_A: 0.495, idt_A: 0.414, D_B: 0.326, G_B: 0.677, cycle_B: 1.288, idt_B: 0.162

[Rank 0] (epoch: 1, iters: 400, time: 0.348, data: 0.001) , D_A: 0.208, G_A: 0.675, cycle_A: 0.696, idt_A: 0.317, D_B: 0.148, G_B: 0.562, cycle_B: 1.018, idt_B: 0.213

[Rank 0] (epoch: 1, iters: 500, time: 0.057, data: 0.002) , D_A: 0.114, G_A: 0.308, cycle_A: 0.456, idt_A: 0.173, D_B: 0.171, G_B: 0.465, cycle_B: 0.901, idt_B: 0.155

[Rank 0] (epoch: 1, iters: 600, time: 0.057, data: 0.001) , D_A: 0.377, G_A: 0.333, cycle_A: 0.666, idt_A: 0.491, D_B: 0.099, G_B: 0.512, cycle_B: 2.116, idt_B: 0.202

[Rank 0] (epoch: 1, iters: 700, time: 0.057, data: 0.001) , D_A: 0.183, G_A: 0.399, cycle_A: 0.545, idt_A: 0.182, D_B: 0.210, G_B: 0.264, cycle_B: 0.768, idt_B: 0.173

[Rank 0] (epoch: 1, iters: 800, time: 0.104, data: 0.001) , D_A: 0.162, G_A: 0.287, cycle_A: 0.444, idt_A: 0.186, D_B: 0.227, G_B: 0.861, cycle_B: 0.646, idt_B: 0.152

[Rank 0] (epoch: 1, iters: 900, time: 0.057, data: 0.001) , D_A: 0.290, G_A: 0.309, cycle_A: 0.604, idt_A: 0.182, D_B: 0.179, G_B: 0.133, cycle_B: 0.578, idt_B: 0.162

