================ Training Loss (Sat Feb 21 20:22:08 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.057, data: 0.115) , D_A: 1.108, G_A: 0.479, cycle_A: 0.695, idt_A: 0.386, D_B: 0.193, G_B: 0.302, cycle_B: 0.861, idt_B: 0.350

[Rank 0] (epoch: 1, iters: 200, time: 0.057, data: 0.001) , D_A: 0.359, G_A: 0.309, cycle_A: 0.675, idt_A: 0.575, D_B: 0.484, G_B: 0.754, cycle_B: 1.290, idt_B: 0.279

[Rank 0] (epoch: 1, iters: 300, time: 0.073, data: 0.001) , D_A: 0.336, G_A: 0.184, cycle_A: 0.656, idt_A: 0.247, D_B: 0.179, G_B: 0.387, cycle_B: 0.678, idt_B: 0.304

[Rank 0] (epoch: 1, iters: 400, time: 0.352, data: 0.002) , D_A: 0.228, G_A: 0.305, cycle_A: 0.576, idt_A: 0.551, D_B: 0.147, G_B: 0.459, cycle_B: 1.523, idt_B: 0.268

[Rank 0] (epoch: 1, iters: 500, time: 0.056, data: 0.002) , D_A: 0.263, G_A: 0.430, cycle_A: 0.474, idt_A: 0.242, D_B: 0.093, G_B: 0.428, cycle_B: 0.712, idt_B: 0.238

[Rank 0] (epoch: 1, iters: 600, time: 0.057, data: 0.001) , D_A: 0.240, G_A: 0.484, cycle_A: 0.438, idt_A: 0.257, D_B: 0.075, G_B: 0.082, cycle_B: 0.717, idt_B: 0.188

[Rank 0] (epoch: 1, iters: 700, time: 0.057, data: 0.001) , D_A: 0.201, G_A: 0.324, cycle_A: 0.469, idt_A: 0.566, D_B: 0.098, G_B: 0.505, cycle_B: 1.748, idt_B: 0.156

[Rank 0] (epoch: 1, iters: 800, time: 0.105, data: 0.003) , D_A: 0.311, G_A: 0.327, cycle_A: 0.462, idt_A: 0.322, D_B: 0.190, G_B: 0.539, cycle_B: 0.810, idt_B: 0.184

[Rank 0] (epoch: 1, iters: 900, time: 0.057, data: 0.001) , D_A: 0.232, G_A: 0.310, cycle_A: 0.419, idt_A: 0.266, D_B: 0.130, G_B: 0.358, cycle_B: 0.588, idt_B: 0.161

